Concurso,Data,Dez1,Dez2,Dez3,Dez4,Dez5,Dez6,Mega,Quina,Quadra,PremioSena,PremioQuina,PremioQuadra,Cidade
587,07/08/2004,2,18,29,30,36,60,0,36,2436,"R$0,00","R$20.518,92","R$302,09",
588,11/08/2004,11,13,45,46,53,55,0,22,2088,"R$0,00","R$29.565,71","R$310,34",
589,14/08/2004,6,7,8,13,33,59,0,152,9005,"R$0,00","R$5.926,91","R$99,66",
590,18/08/2004,4,5,18,25,28,51,0,70,5155,"R$0,00","R$14.105,62","R$190,82",
591,21/08/2004,1,3,18,34,50,58,0,64,4448,"R$0,00","R$18.968,95","R$271,90",
592,25/08/2004,13,14,42,47,55,59,0,60,5062,"R$0,00","R$18.664,59","R$220,39",
593,28/08/2004,1,25,27,29,49,59,0,68,5291,"R$0,00","R$20.265,54","R$259,47",
594,01/09/2004,10,13,29,47,53,55,0,121,6444,"R$0,00","R$11.747,70","R$219,76",
595,04/09/2004,1,2,25,43,50,54,0,89,7230,"R$0,00","R$22.736,36","R$278,82",
596,08/09/2004,11,14,28,43,54,60,0,116,6578,"R$0,00","R$15.749,68","R$276,69",
597,11/09/2004,22,27,29,40,42,56,0,140,10021,"R$0,00","R$21.650,75","R$301,33",
598,15/09/2004,5,16,34,38,50,53,2,234,19229,"R$23.179.951,19","R$15.531,40","R$188,29",DF   RS
599,18/09/2004,4,6,9,23,45,51,0,65,4755,"R$0,00","R$10.375,80","R$141,31",
600,22/09/2004,16,18,31,34,39,54,0,73,4640,"R$0,00","R$16.062,92","R$251,75",
601,25/09/2004,10,19,22,29,30,37,0,75,6002,"R$0,00","R$18.837,59","R$234,50",
602,29/09/2004,7,13,38,46,55,60,0,95,6773,"R$0,00","R$13.988,93","R$195,47",
603,02/10/2004,4,8,11,12,29,44,1,233,12565,"R$24.750.883,61","R$6.701,50","R$123,80",SP
604,06/10/2004,15,25,41,46,49,51,0,15,1422,"R$0,00","R$35.679,23","R$374,94",
605,09/10/2004,4,24,44,49,52,53,0,45,3980,"R$0,00","R$23.716,98","R$267,15",
606,13/10/2004,6,23,32,35,41,55,1,43,3770,"R$11.878.491,65","R$20.736,93","R$235,63",SP
607,16/10/2004,6,11,19,27,41,59,0,48,3059,"R$0,00","R$13.506,67","R$211,14",
608,20/10/2004,6,13,19,24,30,37,0,101,5181,"R$0,00","R$6.267,54","R$121,72",
609,23/10/2004,2,6,15,58,59,60,0,60,3994,"R$0,00","R$13.952,24","R$208,81",
610,27/10/2004,25,30,43,45,47,49,0,62,4044,"R$0,00","R$14.911,12","R$227,75",
611,30/10/2004,16,21,22,33,48,49,0,69,4531,"R$0,00","R$16.349,76","R$248,04",
612,03/11/2004,15,18,33,50,53,55,0,41,3389,"R$0,00","R$22.250,05","R$268,16",
613,06/11/2004,6,13,19,44,54,55,0,108,7101,"R$0,00","R$12.259,22","R$185,76",
614,10/11/2004,12,16,31,48,57,60,0,53,4127,"R$0,00","R$24.951,84","R$319,23",
615,13/11/2004,5,8,10,27,31,51,0,157,9780,"R$0,00","R$11.348,03","R$181,48",
616,17/11/2004,2,12,16,24,26,54,0,90,9236,"R$0,00","R$18.187,52","R$176,56",
617,20/11/2004,3,5,25,33,36,49,2,289,17341,"R$17.791.387,59","R$7.834,50","R$130,08",RJ   SP
618,24/11/2004,3,8,10,13,24,60,0,86,4992,"R$0,00","R$6.312,56","R$108,34",
619,27/11/2004,8,12,14,16,19,46,0,101,5924,"R$0,00","R$7.354,06","R$124,91",
620,01/12/2004,1,3,13,22,29,32,0,87,5886,"R$0,00","R$11.707,09","R$172,39",
621,04/12/2004,26,29,31,49,50,57,0,40,3837,"R$0,00","R$32.904,81","R$341,73",
622,08/12/2004,19,27,29,38,50,59,0,49,3560,"R$0,00","R$24.789,92","R$339,92",
623,11/12/2004,9,23,30,42,49,55,0,124,6915,"R$0,00","R$12.236,03","R$218,59",
624,15/12/2004,8,23,34,39,43,52,1,108,7284,"R$22.375.180,08","R$13.482,59","R$199,16",MG
625,18/12/2004,12,24,32,40,42,59,0,49,4056,"R$0,00","R$20.777,72","R$250,06",
626,22/12/2004,7,8,18,22,39,49,0,52,5096,"R$0,00","R$21.294,16","R$216,47",
627,29/12/2004,1,13,19,45,56,58,0,112,8049,"R$0,00","R$14.270,18","R$197,82",
628,05/01/2005,8,16,22,30,56,58,1,76,5510,"R$17.373.966,13","R$20.331,21","R$279,37",SP
629,08/01/2005,15,16,39,40,47,51,1,15,1865,"R$1.104.456,38","R$42.074,53","R$337,13",SE
630,12/01/2005,12,16,20,45,53,60,0,33,2972,"R$0,00","R$24.880,69","R$275,23",
631,15/01/2005,1,20,28,32,44,47,1,46,3548,"R$10.579.247,17","R$21.955,84","R$283,58",PR
632,19/01/2005,2,19,28,48,51,54,0,26,1962,"R$0,00","R$19.697,02","R$260,03",
633,22/01/2005,5,11,22,27,46,50,0,58,3524,"R$0,00","R$11.744,77","R$192,57",
634,26/01/2005,10,13,24,41,42,56,0,54,3752,"R$0,00","R$11.854,27","R$169,97",
635,29/01/2005,8,20,26,37,42,49,0,58,3646,"R$0,00","R$16.456,84","R$260,80",
636,02/02/2005,26,28,30,32,34,50,0,74,3170,"R$0,00","R$12.762,47","R$296,79",
637,05/02/2005,11,18,43,48,52,58,0,29,3560,"R$0,00","R$38.451,69","R$312,04",
638,12/02/2005,10,11,36,41,42,50,0,65,4518,"R$0,00","R$22.677,35","R$325,03",
639,16/02/2005,13,35,39,45,51,60,0,72,5473,"R$0,00","R$17.653,96","R$231,37",
640,19/02/2005,12,19,42,46,59,60,0,129,8094,"R$0,00","R$14.012,81","R$222,49",
641,23/02/2005,1,9,13,17,33,34,1,366,20840,"R$31.923.289,19","R$5.766,38","R$100,89",MG
642,26/02/2005,17,36,40,44,51,56,0,28,1988,"R$0,00","R$22.758,80","R$319,34",
643,02/03/2005,14,24,37,40,42,45,0,41,2694,"R$0,00","R$15.663,14","R$237,48",
644,05/03/2005,14,27,29,31,34,57,0,81,4433,"R$0,00","R$10.667,36","R$194,17",
645,09/03/2005,3,24,48,52,53,54,0,39,4345,"R$0,00","R$27.310,11","R$244,20",
646,12/03/2005,10,13,32,47,49,60,0,79,6173,"R$0,00","R$16.079,41","R$205,00",
647,16/03/2005,11,12,14,19,54,56,1,50,5432,"R$17.603.353,15","R$25.009,18","R$229,34",SP
648,19/03/2005,5,23,29,42,45,48,3,139,4869,"R$361.199,61","R$4.454,67","R$126,69",MG   RJ   SC
649,23/03/2005,9,24,33,41,48,54,0,31,2156,"R$0,00","R$15.748,23","R$225,57",
650,26/03/2005,10,24,25,29,53,59,0,29,2765,"R$0,00","R$24.322,62","R$254,15",
651,30/03/2005,26,28,39,45,48,60,0,36,4356,"R$0,00","R$24.882,92","R$204,86",
652,02/04/2005,10,18,20,24,56,57,0,41,3874,"R$0,00","R$27.383,54","R$288,71",
653,06/04/2005,5,9,19,24,31,34,0,74,6274,"R$0,00","R$14.994,32","R$176,18",
654,09/04/2005,6,10,11,40,41,56,1,66,4745,"R$15.767.596,35","R$20.244,14","R$280,52",MG
655,13/04/2005,1,26,37,39,43,48,0,23,2722,"R$0,00","R$33.457,53","R$281,64",
656,16/04/2005,35,36,37,46,51,59,0,24,2623,"R$0,00","R$42.026,73","R$383,08",
657,20/04/2005,16,20,33,58,59,60,1,56,3995,"R$11.354.235,39","R$18.168,36","R$253,72",PR
658,23/04/2005,3,6,11,20,36,41,0,31,2883,"R$0,00","R$18.418,26","R$197,30",
659,27/04/2005,14,29,34,40,51,52,0,22,1390,"R$0,00","R$27.222,16","R$429,22",
660,30/04/2005,5,11,38,46,53,54,0,58,4204,"R$0,00","R$16.751,00","R$230,23",
661,04/05/2005,4,27,36,40,42,55,0,64,4211,"R$0,00","R$15.130,77","R$229,09",
662,07/05/2005,4,18,23,25,56,60,0,79,5525,"R$0,00","R$14.974,99","R$213,31",
663,11/05/2005,1,27,30,49,51,55,0,64,4020,"R$0,00","R$17.649,82","R$279,93",
664,14/05/2005,1,12,36,38,55,59,0,74,4971,"R$0,00","R$18.450,77","R$273,62",
665,18/05/2005,7,8,18,25,47,48,0,185,10055,"R$0,00","R$8.538,56","R$156,51",
666,21/05/2005,7,16,26,29,45,55,0,77,8122,"R$0,00","R$26.923,37","R$254,29",
667,25/05/2005,1,4,5,16,23,49,1,203,15283,"R$34.263.173,55","R$11.296,70","R$149,48",SP
668,28/05/2005,1,2,14,33,49,56,0,53,2814,"R$0,00","R$11.007,74","R$206,54",
669,01/06/2005,7,24,27,40,41,49,1,32,2427,"R$2.170.216,15","R$20.522,30","R$269,57",SP
670,04/06/2005,22,37,42,48,58,59,0,24,2895,"R$0,00","R$43.085,53","R$355,84",
671,08/06/2005,9,16,27,38,39,51,0,67,4259,"R$0,00","R$16.609,70","R$260,30",
672,11/06/2005,24,28,34,38,43,53,0,54,4411,"R$0,00","R$24.277,19","R$296,08",
673,15/06/2005,6,11,20,34,37,40,0,72,4792,"R$0,00","R$17.523,73","R$262,30",
674,18/06/2005,18,22,29,32,38,42,0,96,5586,"R$0,00","R$16.070,11","R$275,14",
675,22/06/2005,24,25,30,42,43,50,0,67,5204,"R$0,00","R$26.180,70","R$335,79",
676,25/06/2005,9,15,32,41,42,49,0,94,7583,"R$0,00","R$22.081,78","R$272,69",
677,29/06/2005,8,10,25,32,48,55,0,284,12803,"R$0,00","R$8.422,82","R$186,14",
678,02/07/2005,14,31,40,42,44,46,0,115,9797,"R$0,00","R$28.311,43","R$331,07",
679,06/07/2005,3,21,25,37,54,58,1,448,22087,"R$51.890.452,61","R$9.610,91","R$194,20",RJ
680,09/07/2005,2,3,5,22,26,44,0,188,11222,"R$0,00","R$7.276,69","R$121,45",
681,13/07/2005,21,25,38,53,58,59,0,62,5210,"R$0,00","R$23.695,09","R$280,91",
682,16/07/2005,4,27,36,37,47,60,0,62,5647,"R$0,00","R$25.832,17","R$282,55",
683,20/07/2005,2,11,12,35,40,43,0,79,5680,"R$0,00","R$19.666,04","R$272,49",
684,23/07/2005,17,19,33,37,40,50,0,81,7103,"R$0,00","R$22.483,66","R$255,42",
685,27/07/2005,5,12,27,33,43,56,1,347,15404,"R$44.331.219,78","R$6.029,62","R$135,32",SP
686,30/07/2005,4,5,15,26,33,54,0,47,3901,"R$0,00","R$15.221,72","R$182,71",
687,03/08/2005,1,7,14,41,48,59,0,28,2887,"R$0,00","R$25.839,62","R$249,66",
688,06/08/2005,11,21,30,35,47,52,0,38,2757,"R$0,00","R$23.920,89","R$328,45",
689,10/08/2005,6,7,31,49,51,60,0,29,2998,"R$0,00","R$30.336,11","R$292,33",
690,13/08/2005,8,12,15,41,47,53,0,90,5446,"R$0,00","R$13.225,50","R$217,74",
691,17/08/2005,8,16,37,50,55,58,0,54,3896,"R$0,00","R$20.629,58","R$284,85",
692,20/08/2005,11,18,33,57,58,60,0,71,4995,"R$0,00","R$18.365,13","R$260,06",
693,24/08/2005,13,14,17,31,41,50,0,152,7170,"R$0,00","R$8.909,82","R$188,18",
694,27/08/2005,15,19,29,37,41,53,0,114,7087,"R$0,00","R$13.859,26","R$222,10",
695,31/08/2005,6,11,13,21,40,52,0,76,6333,"R$0,00","R$22.217,91","R$265,62",
696,03/09/2005,9,16,34,37,53,57,2,195,10814,"R$19.251.302,49","R$10.613,53","R$190,66",MA   MG
697,10/09/2005,28,31,32,35,51,53,0,27,2895,"R$0,00","R$33.337,57","R$309,74",
698,14/09/2005,8,12,22,27,43,55,0,43,3981,"R$0,00","R$16.354,69","R$175,99",
699,19/09/2005,17,23,48,50,53,54,0,54,3752,"R$0,00","R$16.259,09","R$233,13",
700,21/09/2005,2,3,14,24,31,40,0,53,3584,"R$0,00","R$17.991,31","R$265,04",
701,24/09/2005,1,13,23,31,48,60,0,103,5623,"R$0,00","R$11.253,13","R$205,35",
702,28/09/2005,1,18,45,56,57,58,0,47,3663,"R$0,00","R$22.868,49","R$292,31",
703,01/10/2005,2,11,24,27,30,45,0,123,7343,"R$0,00","R$10.767,16","R$179,68",
704,05/10/2005,2,4,18,27,34,50,0,56,5784,"R$0,00","R$22.659,95","R$218,56",
705,08/10/2005,3,11,13,15,26,43,0,144,11514,"R$0,00","R$11.780,58","R$146,78",
706,15/10/2005,2,7,10,17,22,60,0,282,15980,"R$0,00","R$7.866,56","R$138,30",
707,19/10/2005,1,8,10,36,43,51,2,140,12461,"R$19.919.975,72","R$14.306,28","R$160,12",MG   RO
708,22/10/2005,7,9,13,39,45,47,0,102,5998,"R$0,00","R$6.567,35","R$111,26",
709,26/10/2005,4,6,9,22,29,44,0,106,5202,"R$0,00","R$5.881,47","R$119,39",
710,29/10/2005,5,25,34,39,46,49,0,48,4608,"R$0,00","R$21.483,28","R$222,94",
711,05/11/2005,5,10,33,40,41,59,0,79,5840,"R$0,00","R$18.118,11","R$244,16",
712,09/11/2005,7,8,35,43,53,58,0,97,5637,"R$0,00","R$12.122,15","R$207,81",
713,12/11/2005,1,12,16,26,46,54,0,67,5838,"R$0,00","R$20.438,81","R$233,68",
714,16/11/2005,7,8,17,35,39,53,0,113,10955,"R$0,00","R$9.766,45","R$100,36",
715,19/11/2005,4,12,24,33,36,54,3,237,13134,"R$10.825.809,33","R$6.910,89","R$124,24",GO   MA   SP
716,23/11/2005,2,7,16,29,32,50,1,37,2512,"R$945.382,75","R$14.600,51","R$214,25",RJ
717,26/11/2005,6,17,23,28,35,41,0,68,3816,"R$0,00","R$8.956,76","R$159,00",
718,30/11/2005,7,21,33,35,39,58,0,41,2893,"R$0,00","R$13.759,23","R$194,26",
719,03/12/2005,3,32,37,39,47,53,0,63,3553,"R$0,00","R$12.737,00","R$225,00",
720,07/12/2005,12,31,44,51,54,56,0,20,2606,"R$0,00","R$45.658,99","R$349,09",
721,10/12/2005,3,14,23,25,36,55,0,99,6723,"R$0,00","R$11.025,33","R$161,75",
722,14/12/2005,9,18,36,44,57,60,0,85,5334,"R$0,00","R$12.704,05","R$201,68",
723,17/12/2005,1,6,16,36,50,52,0,49,4000,"R$0,00","R$25.242,04","R$308,05",
724,21/12/2005,17,27,34,48,51,55,0,102,6190,"R$0,00","R$12.537,87","R$205,82",
725,31/12/2005,3,9,35,37,41,49,2,343,20451,"R$15.815.987,63","R$10.298,59","R$172,08",MG   RJ
726,04/01/2006,1,5,7,37,40,47,0,35,2838,"R$0,00","R$15.459,49","R$189,94",
727,07/01/2006,4,12,14,30,42,59,0,29,2688,"R$0,00","R$25.008,46","R$268,79",
728,11/01/2006,8,13,24,32,42,44,0,81,5381,"R$0,00","R$8.575,31","R$128,59",
729,14/01/2006,5,18,33,43,56,57,1,51,5041,"R$4.969.519,90","R$17.231,34","R$173,67",MG
730,18/01/2006,2,15,16,45,50,54,0,34,2824,"R$0,00","R$23.412,97","R$280,82",
731,21/01/2006,6,15,16,23,28,35,0,88,6659,"R$0,00","R$11.554,63","R$152,12",
732,25/01/2006,6,17,19,49,50,53,0,65,4196,"R$0,00","R$14.610,54","R$225,48",
733,28/01/2006,2,12,26,31,43,46,0,67,5110,"R$0,00","R$16.737,98","R$218,63",
734,01/02/2006,27,29,43,44,45,54,1,58,3984,"R$16.726.569,98","R$19.354,00","R$280,69",MG
735,04/02/2006,9,15,38,40,42,52,0,33,3043,"R$0,00","R$27.163,91","R$293,47",
736,08/02/2006,1,21,38,41,49,56,0,19,2190,"R$0,00","R$47.835,60","R$413,44",
737,11/02/2006,11,12,24,32,33,38,0,65,6267,"R$0,00","R$18.730,63","R$193,54",
738,15/02/2006,14,15,26,30,42,54,0,47,4178,"R$0,00","R$26.720,69","R$299,45",
739,18/02/2006,6,10,35,45,49,56,0,54,4723,"R$0,00","R$25.993,77","R$296,08",
740,22/02/2006,12,16,28,29,47,50,1,90,6943,"R$26.132.814,65","R$17.953,91","R$231,85",PR
741,25/02/2006,24,26,27,36,39,59,0,23,2133,"R$0,00","R$28.453,38","R$305,65",
742,01/03/2006,2,7,17,34,41,50,0,25,1622,"R$0,00","R$14.199,00","R$218,02",
743,04/03/2006,20,23,25,32,54,60,0,28,2762,"R$0,00","R$29.491,22","R$297,84",
744,08/03/2006,4,12,23,26,39,46,0,77,5387,"R$0,00","R$10.441,97","R$148,70",
745,11/03/2006,2,16,21,37,43,57,0,134,5262,"R$0,00","R$8.604,62","R$218,30",
746,15/03/2006,1,10,12,25,49,57,2,114,6686,"R$6.995.681,58","R$10.206,52","R$173,36",RS   SP
747,18/03/2006,2,3,12,21,23,56,0,53,4363,"R$0,00","R$13.079,29","R$158,28",
748,22/03/2006,1,2,7,19,35,51,0,74,4519,"R$0,00","R$9.080,42","R$148,14",
749,25/03/2006,4,24,47,48,50,57,0,31,2669,"R$0,00","R$26.214,36","R$303,33",
750,29/03/2006,10,17,33,42,54,58,0,49,3799,"R$0,00","R$18.795,69","R$241,51",
751,01/04/2006,4,7,20,25,38,50,0,74,5579,"R$0,00","R$15.221,68","R$201,14",
752,05/04/2006,4,23,24,25,29,42,0,86,6849,"R$0,00","R$13.022,30","R$162,90",
753,08/04/2006,2,7,22,35,43,59,1,152,8630,"R$17.388.228,32","R$9.083,97","R$159,40",BA
754,12/04/2006,3,4,13,34,42,50,0,41,2827,"R$0,00","R$14.457,22","R$208,89",
755,15/04/2006,4,12,30,47,49,59,0,41,2977,"R$0,00","R$18.319,33","R$251,35",
756,19/04/2006,5,27,37,38,41,50,0,34,3135,"R$0,00","R$27.503,13","R$297,15",
757,22/04/2006,12,17,18,30,32,58,0,53,3448,"R$0,00","R$17.988,72","R$275,46",
758,26/04/2006,1,23,36,43,47,59,0,74,4910,"R$0,00","R$14.352,34","R$215,49",
759,29/04/2006,30,31,39,45,48,59,0,38,2588,"R$0,00","R$32.431,50","R$474,40",
760,03/05/2006,12,17,44,45,46,60,0,80,5517,"R$0,00","R$16.005,08","R$231,20",
761,06/05/2006,13,17,27,29,40,56,0,100,8936,"R$0,00","R$17.175,97","R$191,48",
762,10/05/2006,9,12,21,37,39,54,0,143,10120,"R$0,00","R$13.668,11","R$192,40",
763,13/05/2006,1,9,26,40,47,48,0,101,7655,"R$0,00","R$23.502,31","R$308,92",
764,18/05/2006,3,7,45,47,53,55,1,189,15290,"R$40.539.530,90","R$16.486,79","R$203,03",PA
765,21/05/2006,3,10,16,30,37,50,0,62,4336,"R$0,00","R$15.552,09","R$221,54",
766,24/05/2006,1,19,24,42,50,58,0,63,4477,"R$0,00","R$16.857,33","R$236,31",
767,27/05/2006,15,22,32,38,50,54,0,62,4419,"R$0,00","R$20.318,55","R$284,00",
768,31/05/2006,4,8,30,33,37,59,1,93,6408,"R$21.024.430,31","R$13.647,30","R$197,31",MG
769,03/06/2006,12,16,20,21,29,50,0,49,3078,"R$0,00","R$14.382,06","R$228,08",
770,07/06/2006,4,12,25,34,35,48,0,68,5401,"R$0,00","R$13.703,65","R$171,88",
771,10/06/2006,14,21,29,34,46,47,0,69,4559,"R$0,00","R$15.089,83","R$227,53",
772,14/06/2006,10,35,38,51,52,60,0,66,5330,"R$0,00","R$13.476,30","R$166,25",
773,17/06/2006,3,5,14,29,34,51,0,58,4919,"R$0,00","R$16.454,70","R$193,29",
774,21/06/2006,5,10,37,46,54,58,1,64,4336,"R$16.319.071,08","R$16.352,03","R$240,45",PA
775,24/06/2006,12,27,42,46,47,50,0,30,3058,"R$0,00","R$25.559,59","R$249,80",
776,28/06/2006,3,15,35,41,57,60,0,56,3075,"R$0,00","R$13.543,61","R$245,72",
777,01/07/2006,2,14,23,28,50,56,0,80,3943,"R$0,00","R$10.746,73","R$217,22",
778,05/07/2006,20,31,36,37,45,51,0,21,1890,"R$0,00","R$42.785,84","R$473,60",
779,08/07/2006,25,26,29,36,52,54,0,26,3127,"R$0,00","R$39.580,32","R$327,85",
780,12/07/2006,7,10,28,50,51,59,0,43,3828,"R$0,00","R$26.754,56","R$299,40",
781,15/07/2006,8,10,13,39,54,56,0,66,5707,"R$0,00","R$19.809,51","R$228,22",
782,19/07/2006,2,11,23,35,42,59,0,144,7533,"R$0,00","R$9.270,41","R$176,55",
783,22/07/2006,4,8,21,32,43,48,1,140,8427,"R$28.244.624,32","R$10.572,64","R$174,99",MT
784,26/07/2006,8,27,37,42,53,56,0,27,2163,"R$0,00","R$20.363,80","R$253,24",
785,29/07/2006,5,8,17,35,37,48,1,126,6657,"R$9.770.979,43","R$6.940,06","R$130,87",RJ
786,02/08/2006,10,11,26,27,31,41,0,19,1521,"R$0,00","R$25.700,08","R$319,83",
787,05/08/2006,20,31,34,37,54,60,0,40,1955,"R$0,00","R$16.922,47","R$344,93",
788,09/08/2006,17,19,29,31,44,57,0,62,3247,"R$0,00","R$10.763,88","R$204,75",
789,12/08/2006,6,31,38,39,50,60,0,13,1808,"R$0,00","R$62.482,48","R$447,56",
790,16/08/2006,2,6,19,22,28,43,0,71,5884,"R$0,00","R$11.717,34","R$140,86",
791,19/08/2006,9,14,19,35,42,58,1,114,5756,"R$12.212.213,94","R$8.665,54","R$170,97",SP
792,23/08/2006,9,29,34,43,45,56,0,32,1949,"R$0,00","R$15.844,65","R$259,17",
793,26/08/2006,3,15,16,33,51,57,0,62,3629,"R$0,00","R$10.387,12","R$176,79",
794,30/08/2006,3,38,42,47,55,56,0,15,1730,"R$0,00","R$37.006,71","R$319,66",
795,02/09/2006,14,21,26,29,36,48,0,76,4389,"R$0,00","R$11.029,20","R$190,27",
796,06/09/2006,5,19,24,34,39,43,0,80,4883,"R$0,00","R$9.974,90","R$162,81",
797,09/09/2006,6,12,47,48,52,58,0,66,3447,"R$0,00","R$12.566,42","R$239,70",
798,13/09/2006,3,4,9,29,32,52,0,48,4104,"R$0,00","R$19.610,77","R$228,50",
799,16/09/2006,19,29,35,42,55,57,0,56,4675,"R$0,00","R$19.330,65","R$230,69",
800,20/09/2006,1,7,11,37,38,56,0,44,4497,"R$0,00","R$26.411,64","R$257,44",
801,23/09/2006,11,19,20,22,42,48,0,73,5791,"R$0,00","R$19.406,93","R$243,72",
802,27/09/2006,6,14,18,24,48,60,0,117,8216,"R$0,00","R$12.287,80","R$174,32",
803,30/09/2006,3,5,10,21,28,57,0,193,12055,"R$0,00","R$8.993,04","R$143,44",
804,04/10/2006,3,13,37,47,56,59,1,134,9937,"R$34.172.202,25","R$13.835,88","R$185,88",SP
805,07/10/2006,2,30,36,43,48,60,0,62,3489,"R$0,00","R$14.428,43","R$255,42",
806,12/10/2006,18,26,35,41,47,60,0,50,3179,"R$0,00","R$18.518,81","R$290,17",
807,14/10/2006,2,8,27,32,49,56,0,130,6188,"R$0,00","R$7.262,48","R$152,01",
808,18/10/2006,2,15,21,31,46,57,0,44,3844,"R$0,00","R$24.446,08","R$278,76",
809,21/10/2006,5,11,15,23,25,30,0,121,7669,"R$0,00","R$8.582,38","R$134,90",
810,25/10/2006,1,4,5,33,37,48,0,75,6450,"R$0,00","R$17.505,65","R$202,79",
811,28/10/2006,10,28,32,41,47,57,2,89,5508,"R$14.597.902,39","R$17.684,31","R$284,67",RS   SP
812,01/11/2006,11,13,38,39,54,57,0,57,2116,"R$0,00","R$9.696,24","R$260,21",
813,04/11/2006,9,15,23,45,46,56,0,43,3244,"R$0,00","R$14.647,97","R$193,43",
814,08/11/2006,2,8,11,41,46,50,0,37,2534,"R$0,00","R$18.442,44","R$268,27",
815,11/11/2006,9,19,37,39,50,57,0,56,3621,"R$0,00","R$17.528,89","R$270,06",
816,16/11/2006,20,21,30,40,47,52,0,21,1885,"R$0,00","R$39.708,11","R$440,69",
817,18/11/2006,10,29,30,34,43,52,0,27,2469,"R$0,00","R$34.364,35","R$374,37",
818,22/11/2006,8,9,22,25,41,44,0,58,4935,"R$0,00","R$16.865,13","R$197,47",
819,25/11/2006,5,19,25,46,51,58,0,105,5868,"R$0,00","R$11.132,90","R$198,46",
820,29/11/2006,10,17,21,32,45,46,2,82,5102,"R$13.046.320,38","R$15.456,29","R$247,47",SP
821,02/12/2006,4,29,33,36,38,42,0,37,3307,"R$0,00","R$17.462,93","R$194,64",
822,06/12/2006,4,10,17,27,41,52,0,31,2585,"R$0,00","R$19.931,52","R$238,13",
823,09/12/2006,1,15,26,51,54,59,0,22,2144,"R$0,00","R$35.180,77","R$359,62",
824,13/12/2006,6,7,9,20,33,48,0,53,5002,"R$0,00","R$14.753,39","R$155,73",
825,16/12/2006,10,21,28,40,41,47,0,52,4148,"R$0,00","R$19.453,75","R$242,96",
826,19/12/2006,6,7,8,27,45,53,0,68,3571,"R$0,00","R$9.188,18","R$174,30",
827,21/12/2006,18,24,30,42,51,56,0,47,4106,"R$0,00","R$21.021,73","R$239,72",
828,23/12/2006,23,28,38,42,50,53,0,29,3478,"R$0,00","R$40.114,62","R$333,21",
829,31/12/2006,10,14,32,47,50,56,0,162,10814,"R$0,00","R$18.311,20","R$273,27",
830,03/01/2007,2,13,41,49,51,53,0,94,7705,"R$0,00","R$24.135,05","R$293,34",
831,06/01/2007,3,32,33,42,48,50,0,117,12045,"R$0,00","R$31.716,10","R$306,90",
832,10/01/2007,15,17,23,33,39,49,1,510,37086,"R$52.807.317,17","R$13.486,58","R$184,77",GO
833,13/01/2007,13,16,46,53,57,58,0,40,2678,"R$0,00","R$19.408,81","R$288,80",
834,17/01/2007,10,16,17,34,44,51,1,42,3073,"R$2.820.323,56","R$19.887,17","R$270,78",SP
835,20/01/2007,18,31,33,49,57,58,0,40,4078,"R$0,00","R$28.893,86","R$282,34",
836,24/01/2007,17,22,28,38,52,59,0,64,4859,"R$0,00","R$20.981,59","R$275,31",
837,27/01/2007,5,6,16,24,34,60,1,73,6233,"R$25.067.473,09","R$20.418,03","R$238,23",GO
838,31/01/2007,9,23,30,38,44,47,0,41,2825,"R$0,00","R$16.256,65","R$235,05",
839,03/02/2007,7,8,11,18,37,43,0,77,5314,"R$0,00","R$11.092,88","R$160,13",
840,07/02/2007,17,29,31,35,43,59,0,94,5512,"R$0,00","R$11.603,23","R$197,13",
841,10/02/2007,7,22,32,36,38,51,0,67,5162,"R$0,00","R$18.656,13","R$241,23",
842,14/02/2007,7,9,30,44,51,60,0,58,4700,"R$0,00","R$21.165,39","R$260,20",
843,17/02/2007,1,16,34,36,45,48,0,68,5642,"R$0,00","R$19.914,21","R$239,10",
844,24/02/2007,16,24,34,44,54,57,0,91,7679,"R$0,00","R$18.846,39","R$222,50",
845,28/02/2007,14,19,20,40,48,52,0,67,5308,"R$0,00","R$26.277,83","R$330,43",
846,03/03/2007,2,3,44,47,50,54,0,82,6231,"R$0,00","R$24.621,43","R$322,79",
847,07/03/2007,14,15,27,42,44,48,1,242,14062,"R$40.484.388,84","R$10.411,84","R$178,50",RS
848,10/03/2007,17,27,32,34,47,56,1,90,4602,"R$1.351.049,04","R$8.578,09","R$167,13",MG
849,14/03/2007,8,9,39,44,49,58,0,33,2208,"R$0,00","R$20.408,37","R$303,87",
850,17/03/2007,7,22,25,44,59,60,0,117,6520,"R$0,00","R$9.690,08","R$173,22",
851,21/03/2007,3,16,19,32,35,58,3,177,7593,"R$4.966.312,44","R$6.635,61","R$154,10",SP
852,24/03/2007,6,14,23,34,38,44,0,42,3489,"R$0,00","R$16.051,24","R$192,50",
853,28/03/2007,30,38,46,51,56,59,0,17,1465,"R$0,00","R$43.287,28","R$500,41",
854,31/03/2007,3,17,24,25,27,44,0,88,7056,"R$0,00","R$10.150,39","R$126,11",
855,04/04/2007,3,24,31,42,43,53,0,59,3478,"R$0,00","R$16.966,53","R$286,73",
856,07/04/2007,11,15,40,41,42,47,0,37,2924,"R$0,00","R$25.678,52","R$323,71",
857,11/04/2007,2,3,17,49,50,59,0,71,4732,"R$0,00","R$17.126,48","R$256,00",
858,14/04/2007,4,18,23,31,37,54,2,185,8821,"R$8.889.537,74","R$7.541,37","R$157,56",PR   SP
