Concurso,Data,Dez1,Dez2,Dez3,Dez4,Dez5,Dez6,Mega,Quina,Quadra,PremioSena,PremioQuina,PremioQuadra,Cidade
62,11/05/1997,6,8,13,24,31,52,0,119,8613,"R$0,00","R$9.968,70","R$137,46",
63,18/05/1997,9,25,26,40,41,49,1,82,6359,"R$13.680.019,57","R$16.246,91","R$209,10",MG
64,25/05/1997,8,12,23,50,54,60,0,29,2441,"R$0,00","R$23.309,96","R$276,38",
65,01/06/1997,1,5,20,25,32,34,0,61,4932,"R$0,00","R$11.542,37","R$142,48",
66,08/06/1997,12,13,15,26,33,48,0,102,7686,"R$0,00","R$8.054,25","R$106,68",
67,15/06/1997,12,14,17,27,47,52,0,83,5479,"R$0,00","R$10.617,25","R$160,52",
68,22/06/1997,1,3,12,13,53,59,0,49,4758,"R$0,00","R$18.496,73","R$190,11",
69,29/06/1997,25,34,45,53,56,58,0,55,3661,"R$0,00","R$17.271,48","R$258,96",
70,06/07/1997,17,23,27,40,43,58,0,95,6071,"R$0,00","R$12.899,52","R$201,46",
71,13/07/1997,16,27,33,43,45,53,0,115,7430,"R$0,00","R$12.451,74","R$192,35",
72,20/07/1997,1,19,34,43,44,48,0,85,7982,"R$0,00","R$19.676,33","R$209,13",
73,27/07/1997,25,26,28,45,51,57,1,95,8222,"R$21.026.575,40","R$21.205,27","R$244,52",BA
74,03/08/1997,2,24,34,37,38,50,0,40,3321,"R$0,00","R$18.257,68","R$219,48",
75,10/08/1997,21,24,35,36,37,49,0,70,5032,"R$0,00","R$12.395,02","R$172,09",
76,17/08/1997,8,17,18,23,33,53,0,92,6399,"R$0,00","R$10.247,61","R$147,04",
77,24/08/1997,21,29,40,49,54,57,0,20,2635,"R$0,00","R$49.648,81","R$376,09",
78,31/08/1997,12,22,25,31,32,46,0,103,5984,"R$0,00","R$9.907,36","R$170,19",
79,07/09/1997,2,13,17,25,31,43,1,247,13375,"R$6.770.601,75","R$4.404,85","R$81,18",RS
80,14/09/1997,23,28,37,40,48,51,0,43,4284,"R$0,00","R$26.443,00","R$264,89",
81,21/09/1997,10,23,41,47,54,60,0,62,4870,"R$0,00","R$19.453,15","R$247,17",
82,28/09/1997,15,18,29,36,51,53,1,77,5889,"R$13.877.826,02","R$15.982,73","R$208,57",BA
83,05/10/1997,4,15,16,24,42,57,0,76,4756,"R$0,00","R$9.408,43","R$150,04",
84,12/10/1997,4,6,10,25,34,40,0,102,5546,"R$0,00","R$7.539,68","R$138,40",
85,19/10/1997,6,15,30,37,45,47,0,45,4312,"R$0,00","R$17.279,25","R$179,96",
86,26/10/1997,6,21,22,34,36,54,0,48,3752,"R$0,00","R$16.752,96","R$213,90",
87,02/11/1997,4,5,11,28,32,40,0,64,5195,"R$0,00","R$12.696,60","R$156,11",
88,09/11/1997,4,18,29,37,43,45,0,110,6805,"R$0,00","R$7.965,82","R$128,51",
89,16/11/1997,13,34,42,44,55,59,0,36,3847,"R$0,00","R$24.246,00","R$226,45",
90,23/11/1997,9,21,26,40,52,54,1,74,4763,"R$15.764.300,87","R$18.584,49","R$288,17",RJ
91,30/11/1997,2,4,10,35,39,60,0,68,3878,"R$0,00","R$9.588,80","R$167,81",
92,07/12/1997,1,3,5,23,24,51,0,75,5530,"R$0,00","R$9.792,64","R$132,56",
93,14/12/1997,2,22,28,31,36,53,0,61,3795,"R$0,00","R$12.369,31","R$198,44",
94,21/12/1997,8,18,28,51,52,55,0,25,2086,"R$0,00","R$31.457,49","R$376,26",
95,28/12/1997,6,40,45,46,50,60,0,22,2185,"R$0,00","R$30.807,89","R$309,58",
96,04/01/1998,4,7,26,40,42,58,1,62,3984,"R$5.218.562,47","R$11.993,17","R$186,27",
97,11/01/1998,5,11,14,35,53,56,1,56,3441,"R$727.932,66","R$10.832,33","R$175,94",
98,18/01/1998,13,14,31,33,35,43,0,89,4972,"R$0,00","R$6.508,88","R$116,28",
99,25/01/1998,11,24,30,33,46,60,0,46,3015,"R$0,00","R$14.037,92","R$213,76",
100,01/02/1998,14,29,30,46,48,51,0,56,3600,"R$0,00","R$15.930,48","R$247,32",
101,08/02/1998,1,18,29,31,37,39,0,52,4653,"R$0,00","R$20.589,41","R$229,64",
102,15/02/1998,19,20,37,42,44,56,1,73,6197,"R$11.336.626,88","R$16.743,36","R$196,85",
103,22/02/1998,1,7,9,49,54,57,1,28,2632,"R$696.984,24","R$20.743,58","R$220,24",
104,01/03/1998,1,4,13,21,38,52,0,37,2588,"R$0,00","R$14.006,33","R$199,85",
105,08/03/1998,3,13,31,43,46,49,0,55,4875,"R$0,00","R$11.824,08","R$133,14",
106,15/03/1998,5,16,24,35,38,39,0,94,5390,"R$0,00","R$7.678,27","R$133,65",
107,22/03/1998,2,4,16,24,51,52,0,35,3554,"R$0,00","R$21.494,23","R$211,26",
108,29/03/1998,21,24,29,34,59,60,0,35,2453,"R$0,00","R$22.511,72","R$320,57",
109,04/04/1998,1,13,44,48,49,54,0,39,3881,"R$0,00","R$21.153,30","R$212,15",
110,11/04/1998,18,31,43,52,57,58,0,35,3212,"R$0,00","R$27.771,48","R$302,01",
111,18/04/1998,4,22,25,32,33,52,0,68,6109,"R$0,00","R$18.082,94","R$200,88",
112,25/04/1998,12,20,34,37,42,43,1,137,8340,"R$15.802.579,93","R$9.957,01","R$163,25",
113,02/05/1998,7,26,28,34,54,55,0,38,2572,"R$0,00","R$14.269,55","R$210,40",
114,09/05/1998,6,12,18,37,47,54,0,71,4908,"R$0,00","R$9.626,08","R$138,99",
115,16/05/1998,4,6,14,20,24,38,0,78,5091,"R$0,00","R$9.283,10","R$141,95",
116,23/05/1998,5,13,32,36,42,51,0,64,5270,"R$0,00","R$11.956,28","R$144,91",
117,30/05/1998,20,25,27,33,42,53,0,36,3822,"R$0,00","R$22.046,87","R$207,26",
118,06/06/1998,9,22,25,37,56,57,0,53,4342,"R$0,00","R$16.052,88","R$195,56",
119,13/06/1998,1,21,36,38,47,50,0,21,2691,"R$0,00","R$38.921,16","R$303,13",
120,20/06/1998,3,16,27,40,45,46,0,92,7073,"R$0,00","R$13.020,97","R$169,04",
121,27/06/1998,2,29,41,44,53,55,0,45,4554,"R$0,00","R$28.917,00","R$285,17",
122,04/07/1998,11,17,20,39,43,53,0,83,7203,"R$0,00","R$18.210,45","R$209,43",
123,11/07/1998,13,14,16,26,32,42,0,176,13159,"R$0,00","R$12.440,56","R$166,06",
124,18/07/1998,5,15,34,41,52,57,1,188,14019,"R$24.536.288,72","R$17.242,12","R$230,76",
125,25/07/1998,25,41,47,53,56,59,0,46,2784,"R$0,00","R$15.425,68","R$254,38",
126,01/08/1998,6,10,11,28,32,40,0,83,5510,"R$0,00","R$10.052,56","R$151,13",
127,08/08/1998,21,29,50,51,54,59,0,40,2613,"R$0,00","R$23.638,47","R$361,14",
128,15/08/1998,3,9,18,21,23,43,0,973,11715,"R$0,00","R$1.024,41","R$84,91",
129,22/08/1998,1,9,10,32,46,54,0,67,5320,"R$0,00","R$15.634,41","R$196,51",
