Concurso,Data,dezena1,dezena2,dezena3,dezena4,dezena5,dezena6,Mega,Quina,Quadra,Cidade
108,29/03/1998,21,24,29,34,59,60,0,35,2453,
109,04/04/1998,1,13,44,48,49,54,0,39,3881,
110,11/04/1998,18,31,43,52,57,58,0,35,3212,
111,18/04/1998,4,22,25,32,33,52,0,68,6109,
112,25/04/1998,12,20,34,37,42,43,1,137,8340,
113,02/05/1998,7,26,28,34,54,55,0,38,2572,
114,09/05/1998,6,12,18,37,47,54,0,71,4908,
115,16/05/1998,4,6,14,20,24,38,0,78,5091,
116,23/05/1998,5,13,32,36,42,51,0,64,5270,
117,30/05/1998,20,25,27,33,42,53,0,36,3822,
118,06/06/1998,9,22,25,37,56,57,0,53,4342,
119,13/06/1998,1,21,36,38,47,50,0,21,2691,
120,20/06/1998,3,16,27,40,45,46,0,92,7073,
121,27/06/1998,2,29,41,44,53,55,0,45,4554,
122,04/07/1998,11,17,20,39,43,53,0,83,7203,
123,11/07/1998,13,14,16,26,32,42,0,176,13159,
124,18/07/1998,5,15,34,41,52,57,1,188,14019,
125,25/07/1998,25,41,47,53,56,59,0,46,2784,
126,01/08/1998,6,10,11,28,32,40,0,83,5510,
127,08/08/1998,21,29,50,51,54,59,0,40,2613,
128,15/08/1998,3,9,18,21,23,43,0,973,11715,
129,22/08/1998,1,9,10,32,46,54,0,67,5320,
130,29/08/1998,13,29,38,42,49,53,0,155,11403,
131,05/09/1998,4,9,17,27,30,44,0,361,21683,
132,12/09/1998,7,9,35,41,44,50,0,143,12179,
133,19/09/1998,5,6,19,34,39,57,1,431,29264,
134,26/09/1998,4,25,32,36,52,60,0,82,4575,
135,03/10/1998,21,22,35,40,53,59,0,40,3604,
136,10/10/1998,1,17,25,38,45,59,0,126,7403,
137,17/10/1998,15,16,19,22,26,49,0,88,6701,
138,24/10/1998,5,14,27,37,40,41,0,86,6953,
139,31/10/1998,3,13,26,27,41,42,2,179,9401,
140,07/11/1998,7,31,41,44,46,55,0,45,4945,
141,14/11/1998,10,13,22,41,42,58,0,119,10533,
142,21/11/1998,8,15,19,20,54,59,0,162,13991,
143,28/11/1998,6,18,20,40,50,53,0,144,10994,
144,05/12/1998,8,32,36,44,45,55,1,257,23952,
145,12/12/1998,15,16,31,41,43,51,0,71,3389,
146,19/12/1998,25,32,34,42,51,60,0,51,4079,
147,24/12/1998,6,16,23,24,28,38,1,75,5418,
148,31/12/1998,32,35,41,55,58,59,0,15,2322,
149,09/01/1999,7,11,20,28,45,48,0,106,6290,
150,16/01/1999,12,44,50,52,54,55,0,56,5540,
151,23/01/1999,3,16,20,43,52,56,1,152,9869,
152,30/01/1999,5,12,15,29,51,58,0,75,5041,
153,06/02/1999,2,30,31,42,45,47,0,47,4218,
154,13/02/1999,8,10,24,33,45,48,0,144,9252,
155,20/02/1999,12,30,32,35,43,44,1,67,4974,
156,27/02/1999,17,23,42,49,52,55,0,74,4455,
157,06/03/1999,4,13,17,21,41,44,1,134,8894,
158,13/03/1999,4,14,17,43,51,58,0,31,3630,
159,20/03/1999,9,11,16,35,50,58,1,57,4124,PR
160,27/03/1999,2,13,42,52,54,58,0,74,6132,
161,03/04/1999,6,25,30,37,39,41,0,95,6865,
162,10/04/1999,21,23,33,38,48,51,0,92,7244,
163,17/04/1999,8,27,36,41,53,56,2,146,10793,
164,24/04/1999,4,10,14,19,28,44,0,111,8386,
165,01/05/1999,10,19,23,35,39,56,2,75,5378,
166,08/05/1999,12,13,22,57,59,60,0,47,3371,
167,15/05/1999,1,11,28,33,38,48,1,82,4997,
168,22/05/1999,2,9,31,35,45,50,0,48,3528,
169,29/05/1999,1,13,21,37,51,52,0,65,4489,
170,05/06/1999,7,41,46,51,55,58,0,50,6257,
171,12/06/1999,4,27,40,43,46,54,1,134,10378,
172,19/06/1999,10,14,26,35,36,49,0,64,4592,
173,26/06/1999,17,28,29,42,49,50,1,40,3610,
174,03/07/1999,11,22,23,36,52,59,0,44,3217,
175,10/07/1999,1,10,13,20,42,50,0,114,7058,
176,17/07/1999,1,3,4,28,45,53,0,62,5405,
177,24/07/1999,22,35,38,39,41,59,0,52,4408,
178,31/07/1999,5,15,19,26,27,33,1,198,13086,
179,07/08/1999,5,6,23,26,27,53,0,78,5646,
180,14/08/1999,6,23,29,39,51,60,0,111,6978,
181,21/08/1999,1,27,33,35,51,55,0,182,11797,
182,28/08/1999,3,5,10,28,46,60,0,239,17413,
183,04/09/1999,2,7,11,16,40,44,0,306,20677,
184,11/09/1999,9,16,21,34,41,60,0,217,15462,
185,18/09/1999,17,22,43,46,55,59,0,366,24849,
186,25/09/1999,14,23,24,25,26,51,0,352,31164,
187,02/10/1999,6,36,41,44,48,58,0,397,39365,
188,10/10/1999,17,27,34,42,43,46,1,1200,90235,
189,16/10/1999,4,15,31,38,41,53,0,61,5485,
190,24/10/1999,5,10,21,32,40,42,0,304,21481,
191,31/10/1999,1,3,5,23,41,58,1,383,30477,
192,06/11/1999,1,26,28,41,54,60,0,53,4403,
193,13/11/1999,4,11,12,19,43,49,0,190,11415,
194,20/11/1999,25,28,32,33,42,43,0,106,7456,
195,27/11/1999,3,9,17,32,37,44,1,339,13819,AM
196,04/12/1999,7,9,14,17,24,32,0,182,10493,
197,11/12/1999,5,12,15,19,29,52,0,128,8720,
198,18/12/1999,1,8,18,23,35,40,0,125,7134,
199,24/12/1999,10,16,37,50,52,57,1,34,3143,SP
200,31/12/1999,12,15,19,34,44,51,2,186,13027,
201,08/01/2000,5,20,22,30,35,55,1,77,4502,RN
202,15/01/2000,12,24,44,45,49,53,0,65,4279,
203,22/01/2000,11,19,29,44,47,55,0,63,5417,
204,29/01/2000,29,31,39,41,51,58,0,32,2400,
205,05/02/2000,26,32,40,43,46,54,1,71,6014,RJ
206,12/02/2000,18,20,26,34,51,56,0,43,3478,
207,19/02/2000,3,7,19,24,53,55,0,90,6510,
208,26/02/2000,15,23,24,25,47,57,0,72,5232,
209,04/03/2000,13,21,26,32,41,52,0,81,5496,
210,11/03/2000,20,32,37,38,48,58,0,29,3921,
211,18/03/2000,10,20,33,40,45,50,0,164,16680,
212,25/03/2000,6,15,29,45,57,59,0,147,9880,
213,01/04/2000,3,9,23,30,32,35,3,312,18348,PR   RS   SC
214,08/04/2000,6,12,30,31,35,50,0,54,3769,
215,15/04/2000,7,28,37,46,53,58,0,78,4942,
216,22/04/2000,14,18,30,35,42,59,4,91,5049,BA   MG   RJ   SP
217,29/04/2000,3,27,32,45,49,51,0,159,5820,
218,06/05/2000,12,17,40,42,47,54,1,95,4679,PR
219,13/05/2000,23,26,28,36,42,49,0,80,5139,
220,20/05/2000,13,14,36,53,55,60,1,125,8067,SP
221,27/05/2000,13,27,43,50,54,58,0,49,3793,
222,03/06/2000,5,19,30,48,52,55,0,55,4462,
223,10/06/2000,2,6,22,24,28,58,0,163,7780,
224,17/06/2000,7,16,18,20,21,44,0,119,7185,
225,24/06/2000,2,4,16,21,37,58,0,83,5517,
226,01/07/2000,1,2,38,49,50,59,1,78,4123,SP
227,08/07/2000,11,26,27,37,42,48,0,51,3648,
228,15/07/2000,13,16,40,43,45,59,0,64,4497,
229,22/07/2000,11,13,21,33,39,45,1,121,7685,AM
230,29/07/2000,8,40,41,44,53,56,0,94,5820,
231,05/08/2000,16,27,36,42,44,59,0,125,9458,
232,12/08/2000,19,22,29,37,41,59,0,124,8807,
233,19/08/2000,3,7,24,32,36,45,5,512,21452,DF   SP
234,26/08/2000,15,25,41,42,45,54,0,39,3505,
235,02/09/2000,2,22,29,31,41,55,0,52,3086,
236,09/09/2000,10,25,50,52,57,60,0,76,4703,
237,16/09/2000,7,31,36,45,56,57,0,54,4145,
238,23/09/2000,9,13,15,37,41,42,4,188,10483,BA   SP
239,30/09/2000,6,21,33,44,46,47,1,30,3826,BA
240,07/10/2000,25,28,38,41,57,59,0,103,6244,
241,14/10/2000,11,31,35,40,56,57,0,74,5485,
242,21/10/2000,4,7,21,22,28,56,0,203,13497,
243,28/10/2000,11,16,20,23,32,47,0,180,13705,
244,04/11/2000,19,24,33,47,50,60,0,204,14735,
245,11/11/2000,8,27,44,51,53,60,3,283,21593,GO   MG   SC
246,18/11/2000,2,16,32,37,43,57,0,93,5429,
247,25/11/2000,3,10,23,30,34,46,0,80,6425,
248,02/12/2000,16,32,34,35,41,56,0,50,4862,
249,09/12/2000,21,36,40,49,54,55,0,60,4247,
250,16/12/2000,7,25,41,42,43,55,0,203,15545,
251,23/12/2000,15,23,30,34,49,55,0,180,12813,
252,30/12/2000,4,17,26,32,51,54,2,354,22122,DF   SP
253,06/01/2001,11,12,24,37,44,56,0,126,7260,
254,13/01/2001,1,4,21,22,30,56,0,66,6381,
255,20/01/2001,16,19,20,32,44,55,0,80,6812,
256,27/01/2001,2,21,26,32,34,52,0,91,6319,
257,03/02/2001,1,4,5,19,28,34,1,175,11706,RJ
258,10/02/2001,7,12,50,54,55,60,0,53,3615,
259,17/02/2001,13,15,20,33,43,58,0,65,5581,
260,24/02/2001,4,6,33,43,59,60,0,120,8956,
261,03/03/2001,5,16,20,30,54,56,0,91,7281,
262,10/03/2001,11,20,48,53,58,60,0,108,8838,
263,17/03/2001,8,9,26,43,50,53,0,136,12752,
264,24/03/2001,1,5,13,25,31,33,2,979,50364,CE   SP
265,31/03/2001,7,16,34,41,50,53,0,64,3855,
266,07/04/2001,2,23,38,46,48,54,0,89,6687,
267,14/04/2001,1,8,45,46,55,58,0,46,4076,
268,21/04/2001,5,6,10,21,33,47,0,111,10133,
269,28/04/2001,17,18,19,25,49,52,0,110,8717,
270,05/05/2001,5,9,27,35,40,45,1,228,16867,SP
271,12/05/2001,14,24,26,29,31,54,0,43,4385,
272,19/05/2001,9,10,24,36,56,58,0,70,5491,
273,26/05/2001,10,17,23,27,47,52,1,92,7241,PE
274,02/06/2001,11,13,18,26,39,47,0,142,7420,
275,09/06/2001,16,19,30,37,38,48,0,41,3737,
276,16/06/2001,22,39,45,53,57,59,0,79,5172,
277,23/06/2001,4,26,38,40,52,56,0,95,5404,
278,30/06/2001,10,15,18,22,31,55,0,99,6996,
279,07/07/2001,4,23,31,47,58,59,0,58,6137,
280,14/07/2001,5,16,20,25,30,58,0,192,14673,
281,21/07/2001,5,11,31,38,47,53,1,188,12864,PR
282,28/07/2001,9,14,23,24,33,36,1,76,6064,RJ
283,01/08/2001,25,28,34,42,48,54,1,36,2126,SP
284,04/08/2001,7,8,14,30,32,36,1,75,5358,PR
285,08/08/2001,12,32,37,41,50,56,0,17,1173,
286,11/08/2001,29,35,37,44,47,56,0,59,3739,
287,15/08/2001,3,13,25,33,47,60,1,110,5633,TO
288,18/08/2001,6,9,11,17,18,50,0,82,4763,
289,22/08/2001,6,7,20,25,30,36,0,29,2197,
