Concurso,Data,dezena1,dezena2,dezena3,dezena4,dezena5,dezena6,Mega,Quina,Quadra,Cidade
466,28/05/2003,11,16,28,29,30,45,0,64,3582,
467,31/05/2003,8,18,21,22,38,60,0,45,3907,
468,04/06/2003,5,6,23,25,39,51,0,58,4701,
469,07/06/2003,13,21,26,29,42,47,2,187,8798,AL   RO
470,11/06/2003,8,11,23,37,51,58,0,86,6094,
471,14/06/2003,5,31,32,36,51,59,0,76,5490,
472,18/06/2003,3,4,12,29,38,51,0,82,6518,
473,21/06/2003,7,23,41,49,51,58,0,65,6524,
474,25/06/2003,3,12,32,34,40,50,0,56,6910,
475,28/06/2003,6,8,19,22,43,52,0,156,13235,
476,02/07/2003,17,20,38,43,55,58,0,163,11465,
477,05/07/2003,6,8,18,34,38,47,3,279,21958,AM   RN   RS
478,09/07/2003,3,8,21,25,30,31,0,92,4876,
479,12/07/2003,20,26,41,46,54,58,0,32,2834,
480,16/07/2003,14,33,36,38,41,49,0,112,8589,
481,19/07/2003,6,13,22,24,42,44,3,359,19465,AC   MT   SP
482,23/07/2003,12,13,33,53,54,56,0,41,2929,
483,26/07/2003,16,18,23,35,44,59,0,90,6279,
484,30/07/2003,17,18,19,38,49,53,0,55,4015,
485,02/08/2003,19,28,30,38,52,57,0,30,3203,
486,06/08/2003,8,14,19,30,42,50,1,55,4325,SP
487,09/08/2003,8,22,25,48,52,54,2,104,5329,SE
488,13/08/2003,15,30,35,39,43,57,0,46,2699,
489,16/08/2003,17,28,33,36,53,59,0,67,5107,
490,20/08/2003,5,11,23,29,54,58,1,148,8438,RJ
491,23/08/2003,1,9,15,22,43,55,1,81,4221,RJ
492,27/08/2003,2,6,15,18,56,57,0,26,2629,
493,30/08/2003,3,18,20,24,42,54,0,79,5294,
494,03/09/2003,18,20,28,32,49,53,0,32,2766,
495,06/09/2003,8,15,29,36,49,60,0,48,5313,
496,10/09/2003,10,19,20,29,41,59,0,31,3495,
497,13/09/2003,9,13,20,32,41,58,0,72,5439,
498,17/09/2003,2,6,28,49,50,57,0,58,4592,
499,20/09/2003,1,4,5,11,44,59,1,126,8903,PE
500,27/09/2003,21,29,35,36,38,54,1,73,6818,PR
501,01/10/2003,16,27,28,34,39,56,0,43,3037,
502,04/10/2003,7,13,21,24,33,50,2,268,9549,MS   SP
503,08/10/2003,7,10,21,27,48,49,0,40,2934,
504,11/10/2003,8,11,19,30,39,50,0,54,4006,
505,15/10/2003,3,20,28,46,47,52,0,30,2559,
506,18/10/2003,4,15,31,34,37,38,0,65,4735,
507,22/10/2003,3,5,27,33,44,58,2,212,6604,MG   SP
508,25/10/2003,5,10,15,45,46,56,0,33,3025,
509,29/10/2003,28,32,33,34,35,55,0,39,2852,
510,01/11/2003,1,4,30,41,45,58,2,70,4392,MA   SP
511,05/11/2003,3,4,8,34,36,37,0,50,3155,
512,08/11/2003,4,8,31,40,53,58,3,41,2277,MS   RJ
513,12/11/2003,10,19,27,33,39,46,0,46,2427,
514,15/11/2003,15,36,40,42,51,52,0,20,1209,
515,19/11/2003,15,16,39,45,48,57,0,33,2636,
516,22/11/2003,5,13,24,33,34,35,0,164,7718,
517,26/11/2003,7,8,28,32,38,51,0,36,3262,
518,29/11/2003,5,8,10,15,18,44,0,182,8653,
519,03/12/2003,9,15,19,22,36,42,0,111,7018,
520,06/12/2003,9,12,17,32,34,35,0,166,10884,
521,10/12/2003,15,25,28,32,38,45,0,166,10610,
522,13/12/2003,6,14,15,25,49,52,0,118,8280,
523,17/12/2003,28,39,40,44,45,58,0,123,9692,
524,20/12/2003,19,29,34,41,47,48,1,180,17156,SC
525,27/12/2003,8,10,24,26,32,49,2,153,9640,MG   SP
526,03/01/2004,3,21,31,36,55,59,0,34,2444,
527,07/01/2004,6,14,17,26,50,52,0,23,2091,
528,10/01/2004,8,12,28,31,34,37,0,67,4827,
529,14/01/2004,1,13,33,38,45,56,15,87,4758,BA   CE   PB   PE   PI   RN
530,17/01/2004,1,6,21,25,32,49,0,49,3771,
531,21/01/2004,1,3,7,18,35,50,0,96,5188,
532,24/01/2004,4,9,12,13,52,53,0,69,5314,
533,28/01/2004,13,18,21,27,53,59,0,82,5129,
534,31/01/2004,3,8,23,31,48,57,1,107,6559,MT
535,04/02/2004,6,14,28,47,49,56,1,59,4136,DF
536,07/02/2004,14,15,22,23,25,37,0,49,3217,
537,11/02/2004,3,7,19,34,37,39,1,128,5345,RS
538,14/02/2004,3,25,43,45,52,56,0,36,2657,
539,18/02/2004,6,16,19,47,50,55,0,21,1908,
540,21/02/2004,4,22,28,30,44,49,0,84,4535,
541,28/02/2004,13,27,49,52,57,58,1,54,4879,MG
542,03/03/2004,4,6,19,28,35,49,0,42,2800,
543,06/03/2004,35,37,42,46,49,54,1,78,2557,PR
544,10/03/2004,11,17,33,34,47,56,0,39,2415,
545,13/03/2004,17,29,35,40,43,57,1,102,4315,ES
546,17/03/2004,4,5,13,17,46,54,0,32,3003,
547,20/03/2004,4,13,28,30,53,59,1,42,2599,PB
548,24/03/2004,14,47,49,51,58,59,0,9,965,
549,27/03/2004,8,13,22,46,51,58,0,34,2772,
550,31/03/2004,16,17,38,39,45,56,0,39,2948,
551,03/04/2004,12,21,46,48,56,57,0,35,3027,
552,07/04/2004,9,22,47,49,52,54,0,69,4299,
553,10/04/2004,4,43,46,53,54,58,0,42,3308,
554,14/04/2004,15,29,31,42,47,60,0,64,4812,
555,17/04/2004,5,23,31,33,45,49,1,152,10733,PR
556,21/04/2004,8,10,17,30,33,45,0,20,1699,
557,24/04/2004,8,12,18,23,38,49,0,59,3777,
558,28/04/2004,7,14,31,57,58,59,0,21,2000,
559,01/05/2004,6,13,17,25,36,53,1,75,4460,ES
560,05/05/2004,2,11,18,30,32,58,0,44,2585,
561,08/05/2004,1,20,36,39,49,55,0,32,2743,
562,12/05/2004,16,23,35,37,55,57,0,117,5150,
563,15/05/2004,5,8,23,34,44,51,0,90,6007,
564,19/05/2004,10,13,20,32,38,49,0,46,4446,
565,22/05/2004,7,31,34,35,37,45,0,57,6804,
566,26/05/2004,6,13,17,18,20,37,0,176,13032,
567,29/05/2004,11,31,38,41,57,58,0,69,5787,
568,02/06/2004,13,17,22,25,29,41,0,457,24931,
569,05/06/2004,3,9,14,15,32,57,1,434,29922,RJ
570,09/06/2004,15,32,33,35,36,51,0,84,7539,
571,12/06/2004,12,13,14,31,50,51,0,69,5572,
572,16/06/2004,3,9,16,20,33,60,0,162,9940,
573,19/06/2004,6,17,22,29,40,59,0,82,8272,
574,23/06/2004,2,10,17,23,32,44,0,162,12691,
575,26/06/2004,5,18,21,29,35,48,2,470,21660,DF   SP
576,30/06/2004,7,8,18,39,43,52,0,27,1978,
577,03/07/2004,8,23,24,28,31,47,0,57,4579,
578,07/07/2004,3,18,23,48,56,58,1,62,3639,MG
579,10/07/2004,4,9,15,17,34,39,1,90,5172,PB
580,14/07/2004,15,16,18,28,38,47,0,56,4097,
581,17/07/2004,14,17,25,30,39,52,1,56,4429,SP
582,21/07/2004,13,29,40,45,51,59,0,29,1943,
583,24/07/2004,6,7,20,41,43,55,0,36,2157,
584,28/07/2004,7,8,23,30,32,53,0,49,3278,
585,31/07/2004,12,24,33,36,39,57,1,124,7122,MG
586,04/08/2004,11,13,38,39,45,54,0,30,2162,
587,07/08/2004,2,18,29,30,36,60,0,36,2436,
588,11/08/2004,11,13,45,46,53,55,0,22,2088,
589,14/08/2004,6,7,8,13,33,59,0,152,9005,
590,18/08/2004,4,5,18,25,28,51,0,70,5155,
591,21/08/2004,1,3,18,34,50,58,0,64,4448,
592,25/08/2004,13,14,42,47,55,59,0,60,5062,
593,28/08/2004,1,25,27,29,49,59,0,68,5291,
594,01/09/2004,10,13,29,47,53,55,0,121,6444,
595,04/09/2004,1,2,25,43,50,54,0,89,7230,
596,08/09/2004,11,14,28,43,54,60,0,116,6578,
597,11/09/2004,22,27,29,40,42,56,0,140,10021,
598,15/09/2004,5,16,34,38,50,53,2,234,19229,DF   RS
599,18/09/2004,4,6,9,23,45,51,0,65,4755,
600,22/09/2004,16,18,31,34,39,54,0,73,4640,
601,25/09/2004,10,19,22,29,30,37,0,75,6002,
602,29/09/2004,7,13,38,46,55,60,0,95,6773,
603,02/10/2004,4,8,11,12,29,44,1,233,12565,SP
604,06/10/2004,15,25,41,46,49,51,0,15,1422,
605,09/10/2004,4,24,44,49,52,53,0,45,3980,
606,13/10/2004,6,23,32,35,41,55,1,43,3770,SP
607,16/10/2004,6,11,19,27,41,59,0,48,3059,
608,20/10/2004,6,13,19,24,30,37,0,101,5181,
609,23/10/2004,2,6,15,58,59,60,0,60,3994,
610,27/10/2004,25,30,43,45,47,49,0,62,4044,
611,30/10/2004,16,21,22,33,48,49,0,69,4531,
612,03/11/2004,15,18,33,50,53,55,0,41,3389,
613,06/11/2004,6,13,19,44,54,55,0,108,7101,
614,10/11/2004,12,16,31,48,57,60,0,53,4127,
615,13/11/2004,5,8,10,27,31,51,0,157,9780,
616,17/11/2004,2,12,16,24,26,54,0,90,9236,
617,20/11/2004,3,5,25,33,36,49,2,289,17341,RJ   SP
618,24/11/2004,3,8,10,13,24,60,0,86,4992,
619,27/11/2004,8,12,14,16,19,46,0,101,5924,
620,01/12/2004,1,3,13,22,29,32,0,87,5886,
621,04/12/2004,26,29,31,49,50,57,0,40,3837,
622,08/12/2004,19,27,29,38,50,59,0,49,3560,
623,11/12/2004,9,23,30,42,49,55,0,124,6915,
624,15/12/2004,8,23,34,39,43,52,1,108,7284,MG
625,18/12/2004,12,24,32,40,42,59,0,49,4056,
626,22/12/2004,7,8,18,22,39,49,0,52,5096,
627,29/12/2004,1,13,19,45,56,58,0,112,8049,
628,05/01/2005,8,16,22,30,56,58,1,76,5510,SP
629,08/01/2005,15,16,39,40,47,51,1,15,1865,SE
630,12/01/2005,12,16,20,45,53,60,0,33,2972,
631,15/01/2005,1,20,28,32,44,47,1,46,3548,PR
632,19/01/2005,2,19,28,48,51,54,0,26,1962,
633,22/01/2005,5,11,22,27,46,50,0,58,3524,
634,26/01/2005,10,13,24,41,42,56,0,54,3752,
635,29/01/2005,8,20,26,37,42,49,0,58,3646,
636,02/02/2005,26,28,30,32,34,50,0,74,3170,
637,05/02/2005,11,18,43,48,52,58,0,29,3560,
638,12/02/2005,10,11,36,41,42,50,0,65,4518,
639,16/02/2005,13,35,39,45,51,60,0,72,5473,
640,19/02/2005,12,19,42,46,59,60,0,129,8094,
641,23/02/2005,1,9,13,17,33,34,1,366,20840,MG
642,26/02/2005,17,36,40,44,51,56,0,28,1988,
643,02/03/2005,14,24,37,40,42,45,0,41,2694,
644,05/03/2005,14,27,29,31,34,57,0,81,4433,
645,09/03/2005,3,24,48,52,53,54,0,39,4345,
646,12/03/2005,10,13,32,47,49,60,0,79,6173,
647,16/03/2005,11,12,14,19,54,56,1,50,5432,SP
648,19/03/2005,5,23,29,42,45,48,3,139,4869,MG   RJ   SC
649,23/03/2005,9,24,33,41,48,54,0,31,2156,
650,26/03/2005,10,24,25,29,53,59,0,29,2765,
651,30/03/2005,26,28,39,45,48,60,0,36,4356,
652,02/04/2005,10,18,20,24,56,57,0,41,3874,
653,06/04/2005,5,9,19,24,31,34,0,74,6274,
654,09/04/2005,6,10,11,40,41,56,1,66,4745,MG
655,13/04/2005,1,26,37,39,43,48,0,23,2722,
656,16/04/2005,35,36,37,46,51,59,0,24,2623,
657,20/04/2005,16,20,33,58,59,60,1,56,3995,PR
658,23/04/2005,3,6,11,20,36,41,0,31,2883,
659,27/04/2005,14,29,34,40,51,52,0,22,1390,
660,30/04/2005,5,11,38,46,53,54,0,58,4204,
661,04/05/2005,4,27,36,40,42,55,0,64,4211,
662,07/05/2005,4,18,23,25,56,60,0,79,5525,
663,11/05/2005,1,27,30,49,51,55,0,64,4020,
664,14/05/2005,1,12,36,38,55,59,0,74,4971,
665,18/05/2005,7,8,18,25,47,48,0,185,10055,
666,21/05/2005,7,16,26,29,45,55,0,77,8122,
667,25/05/2005,1,4,5,16,23,49,1,203,15283,SP
668,28/05/2005,1,2,14,33,49,56,0,53,2814,
669,01/06/2005,7,24,27,40,41,49,1,32,2427,SP
670,04/06/2005,22,37,42,48,58,59,0,24,2895,
671,08/06/2005,9,16,27,38,39,51,0,67,4259,
672,11/06/2005,24,28,34,38,43,53,0,54,4411,
673,15/06/2005,6,11,20,34,37,40,0,72,4792,
674,18/06/2005,18,22,29,32,38,42,0,96,5586,
675,22/06/2005,24,25,30,42,43,50,0,67,5204,
676,25/06/2005,9,15,32,41,42,49,0,94,7583,
677,29/06/2005,8,10,25,32,48,55,0,284,12803,
678,02/07/2005,14,31,40,42,44,46,0,115,9797,
679,06/07/2005,3,21,25,37,54,58,1,448,22087,RJ
680,09/07/2005,2,3,5,22,26,44,0,188,11222,
681,13/07/2005,21,25,38,53,58,59,0,62,5210,
682,16/07/2005,4,27,36,37,47,60,0,62,5647,
683,20/07/2005,2,11,12,35,40,43,0,79,5680,
684,23/07/2005,17,19,33,37,40,50,0,81,7103,
685,27/07/2005,5,12,27,33,43,56,1,347,15404,SP
686,30/07/2005,4,5,15,26,33,54,0,47,3901,
687,03/08/2005,1,7,14,41,48,59,0,28,2887,
688,06/08/2005,11,21,30,35,47,52,0,38,2757,
689,10/08/2005,6,7,31,49,51,60,0,29,2998,
690,13/08/2005,8,12,15,41,47,53,0,90,5446,
691,17/08/2005,8,16,37,50,55,58,0,54,3896,
692,20/08/2005,11,18,33,57,58,60,0,71,4995,
693,24/08/2005,13,14,17,31,41,50,0,152,7170,
694,27/08/2005,15,19,29,37,41,53,0,114,7087,
695,31/08/2005,6,11,13,21,40,52,0,76,6333,
696,03/09/2005,9,16,34,37,53,57,2,195,10814,MA   MG
697,10/09/2005,28,31,32,35,51,53,0,27,2895,
698,14/09/2005,8,12,22,27,43,55,0,43,3981,
699,19/09/2005,17,23,48,50,53,54,0,54,3752,
700,21/09/2005,2,3,14,24,31,40,0,53,3584,
701,24/09/2005,1,13,23,31,48,60,0,103,5623,
702,28/09/2005,1,18,45,56,57,58,0,47,3663,
703,01/10/2005,2,11,24,27,30,45,0,123,7343,
704,05/10/2005,2,4,18,27,34,50,0,56,5784,
705,08/10/2005,3,11,13,15,26,43,0,144,11514,
706,15/10/2005,2,7,10,17,22,60,0,282,15980,
707,19/10/2005,1,8,10,36,43,51,2,140,12461,MG   RO
708,22/10/2005,7,9,13,39,45,47,0,102,5998,
709,26/10/2005,4,6,9,22,29,44,0,106,5202,
710,29/10/2005,5,25,34,39,46,49,0,48,4608,
711,05/11/2005,5,10,33,40,41,59,0,79,5840,
712,09/11/2005,7,8,35,43,53,58,0,97,5637,
713,12/11/2005,1,12,16,26,46,54,0,67,5838,
714,16/11/2005,7,8,17,35,39,53,0,113,10955,
715,19/11/2005,4,12,24,33,36,54,3,237,13134,GO   MA   SP
716,23/11/2005,2,7,16,29,32,50,1,37,2512,RJ
717,26/11/2005,6,17,23,28,35,41,0,68,3816,
718,30/11/2005,7,21,33,35,39,58,0,41,2893,
719,03/12/2005,3,32,37,39,47,53,0,63,3553,
720,07/12/2005,12,31,44,51,54,56,0,20,2606,
721,10/12/2005,3,14,23,25,36,55,0,99,6723,
722,14/12/2005,9,18,36,44,57,60,0,85,5334,
723,17/12/2005,1,6,16,36,50,52,0,49,4000,
724,21/12/2005,17,27,34,48,51,55,0,102,6190,
725,31/12/2005,3,9,35,37,41,49,2,343,20451,MG   RJ
726,04/01/2006,1,5,7,37,40,47,0,35,2838,
727,07/01/2006,4,12,14,30,42,59,0,29,2688,
728,11/01/2006,8,13,24,32,42,44,0,81,5381,
729,14/01/2006,5,18,33,43,56,57,1,51,5041,MG
730,18/01/2006,2,15,16,45,50,54,0,34,2824,
731,21/01/2006,6,15,16,23,28,35,0,88,6659,
732,25/01/2006,6,17,19,49,50,53,0,65,4196,
733,28/01/2006,2,12,26,31,43,46,0,67,5110,
734,01/02/2006,27,29,43,44,45,54,1,58,3984,MG
735,04/02/2006,9,15,38,40,42,52,0,33,3043,
736,08/02/2006,1,21,38,41,49,56,0,19,2190,
737,11/02/2006,11,12,24,32,33,38,0,65,6267,
738,15/02/2006,14,15,26,30,42,54,0,47,4178,
739,18/02/2006,6,10,35,45,49,56,0,54,4723,
740,22/02/2006,12,16,28,29,47,50,1,90,6943,PR
741,25/02/2006,24,26,27,36,39,59,0,23,2133,
742,01/03/2006,2,7,17,34,41,50,0,25,1622,
743,04/03/2006,20,23,25,32,54,60,0,28,2762,
744,08/03/2006,4,12,23,26,39,46,0,77,5387,
745,11/03/2006,2,16,21,37,43,57,0,134,5262,
746,15/03/2006,1,10,12,25,49,57,2,114,6686,RS   SP
747,18/03/2006,2,3,12,21,23,56,0,53,4363,
748,22/03/2006,1,2,7,19,35,51,0,74,4519,
749,25/03/2006,4,24,47,48,50,57,0,31,2669,
750,29/03/2006,10,17,33,42,54,58,0,49,3799,
751,01/04/2006,4,7,20,25,38,50,0,74,5579,
752,05/04/2006,4,23,24,25,29,42,0,86,6849,
753,08/04/2006,2,7,22,35,43,59,1,152,8630,BA
754,12/04/2006,3,4,13,34,42,50,0,41,2827,
755,15/04/2006,4,12,30,47,49,59,0,41,2977,
756,19/04/2006,5,27,37,38,41,50,0,34,3135,
757,22/04/2006,12,17,18,30,32,58,0,53,3448,
758,26/04/2006,1,23,36,43,47,59,0,74,4910,
759,29/04/2006,30,31,39,45,48,59,0,38,2588,
760,03/05/2006,12,17,44,45,46,60,0,80,5517,
761,06/05/2006,13,17,27,29,40,56,0,100,8936,
762,10/05/2006,9,12,21,37,39,54,0,143,10120,
763,13/05/2006,1,9,26,40,47,48,0,101,7655,
764,18/05/2006,3,7,45,47,53,55,1,189,15290,PA
765,21/05/2006,3,10,16,30,37,50,0,62,4336,
766,24/05/2006,1,19,24,42,50,58,0,63,4477,
767,27/05/2006,15,22,32,38,50,54,0,62,4419,
768,31/05/2006,4,8,30,33,37,59,1,93,6408,MG
769,03/06/2006,12,16,20,21,29,50,0,49,3078,
770,07/06/2006,4,12,25,34,35,48,0,68,5401,
771,10/06/2006,14,21,29,34,46,47,0,69,4559,
772,14/06/2006,10,35,38,51,52,60,0,66,5330,
773,17/06/2006,3,5,14,29,34,51,0,58,4919,
774,21/06/2006,5,10,37,46,54,58,1,64,4336,PA
775,24/06/2006,12,27,42,46,47,50,0,30,3058,
776,28/06/2006,3,15,35,41,57,60,0,56,3075,
777,01/07/2006,2,14,23,28,50,56,0,80,3943,
778,05/07/2006,20,31,36,37,45,51,0,21,1890,
779,08/07/2006,25,26,29,36,52,54,0,26,3127,
780,12/07/2006,7,10,28,50,51,59,0,43,3828,
781,15/07/2006,8,10,13,39,54,56,0,66,5707,
782,19/07/2006,2,11,23,35,42,59,0,144,7533,
783,22/07/2006,4,8,21,32,43,48,1,140,8427,MT
784,26/07/2006,8,27,37,42,53,56,0,27,2163,
785,29/07/2006,5,8,17,35,37,48,1,126,6657,RJ
786,02/08/2006,10,11,26,27,31,41,0,19,1521,
787,05/08/2006,20,31,34,37,54,60,0,40,1955,
788,09/08/2006,17,19,29,31,44,57,0,62,3247,
789,12/08/2006,6,31,38,39,50,60,0,13,1808,
790,16/08/2006,2,6,19,22,28,43,0,71,5884,
791,19/08/2006,9,14,19,35,42,58,1,114,5756,SP
792,23/08/2006,9,29,34,43,45,56,0,32,1949,
793,26/08/2006,3,15,16,33,51,57,0,62,3629,
794,30/08/2006,3,38,42,47,55,56,0,15,1730,
795,02/09/2006,14,21,26,29,36,48,0,76,4389,
796,06/09/2006,5,19,24,34,39,43,0,80,4883,
797,09/09/2006,6,12,47,48,52,58,0,66,3447,
798,13/09/2006,3,4,9,29,32,52,0,48,4104,
799,16/09/2006,19,29,35,42,55,57,0,56,4675,
800,20/09/2006,1,7,11,37,38,56,0,44,4497,
801,23/09/2006,11,19,20,22,42,48,0,73,5791,
802,27/09/2006,6,14,18,24,48,60,0,117,8216,
803,30/09/2006,3,5,10,21,28,57,0,193,12055,
804,04/10/2006,3,13,37,47,56,59,1,134,9937,SP
805,07/10/2006,2,30,36,43,48,60,0,62,3489,
806,12/10/2006,18,26,35,41,47,60,0,50,3179,
807,14/10/2006,2,8,27,32,49,56,0,130,6188,
808,18/10/2006,2,15,21,31,46,57,0,44,3844,
809,21/10/2006,5,11,15,23,25,30,0,121,7669,
810,25/10/2006,1,4,5,33,37,48,0,75,6450,
811,28/10/2006,10,28,32,41,47,57,2,89,5508,RS   SP
812,01/11/2006,11,13,38,39,54,57,0,57,2116,
813,04/11/2006,9,15,23,45,46,56,0,43,3244,
814,08/11/2006,2,8,11,41,46,50,0,37,2534,
815,11/11/2006,9,19,37,39,50,57,0,56,3621,
816,16/11/2006,20,21,30,40,47,52,0,21,1885,
817,18/11/2006,10,29,30,34,43,52,0,27,2469,
818,22/11/2006,8,9,22,25,41,44,0,58,4935,
819,25/11/2006,5,19,25,46,51,58,0,105,5868,
820,29/11/2006,10,17,21,32,45,46,2,82,5102,SP
821,02/12/2006,4,29,33,36,38,42,0,37,3307,
822,06/12/2006,4,10,17,27,41,52,0,31,2585,
823,09/12/2006,1,15,26,51,54,59,0,22,2144,
824,13/12/2006,6,7,9,20,33,48,0,53,5002,
825,16/12/2006,10,21,28,40,41,47,0,52,4148,
826,19/12/2006,6,7,8,27,45,53,0,68,3571,
827,21/12/2006,18,24,30,42,51,56,0,47,4106,
828,23/12/2006,23,28,38,42,50,53,0,29,3478,
829,31/12/2006,10,14,32,47,50,56,0,162,10814,
830,03/01/2007,2,13,41,49,51,53,0,94,7705,
831,06/01/2007,3,32,33,42,48,50,0,117,12045,
832,10/01/2007,15,17,23,33,39,49,1,510,37086,GO
833,13/01/2007,13,16,46,53,57,58,0,40,2678,
834,17/01/2007,10,16,17,34,44,51,1,42,3073,SP
835,20/01/2007,18,31,33,49,57,58,0,40,4078,
836,24/01/2007,17,22,28,38,52,59,0,64,4859,
837,27/01/2007,5,6,16,24,34,60,1,73,6233,GO
838,31/01/2007,9,23,30,38,44,47,0,41,2825,
839,03/02/2007,7,8,11,18,37,43,0,77,5314,
840,07/02/2007,17,29,31,35,43,59,0,94,5512,
841,10/02/2007,7,22,32,36,38,51,0,67,5162,
842,14/02/2007,7,9,30,44,51,60,0,58,4700,
843,17/02/2007,1,16,34,36,45,48,0,68,5642,
844,24/02/2007,16,24,34,44,54,57,0,91,7679,
845,28/02/2007,14,19,20,40,48,52,0,67,5308,
846,03/03/2007,2,3,44,47,50,54,0,82,6231,
847,07/03/2007,14,15,27,42,44,48,1,242,14062,RS
848,10/03/2007,17,27,32,34,47,56,1,90,4602,MG
849,14/03/2007,8,9,39,44,49,58,0,33,2208,
850,17/03/2007,7,22,25,44,59,60,0,117,6520,
851,21/03/2007,3,16,19,32,35,58,3,177,7593,SP
852,24/03/2007,6,14,23,34,38,44,0,42,3489,
853,28/03/2007,30,38,46,51,56,59,0,17,1465,
854,31/03/2007,3,17,24,25,27,44,0,88,7056,
855,04/04/2007,3,24,31,42,43,53,0,59,3478,
856,07/04/2007,11,15,40,41,42,47,0,37,2924,
857,11/04/2007,2,3,17,49,50,59,0,71,4732,
858,14/04/2007,4,18,23,31,37,54,2,185,8821,PR   SP
859,18/04/2007,9,12,34,46,47,57,0,35,3275,
860,23/04/2007,2,8,17,22,42,44,0,111,6853,
861,25/04/2007,39,40,42,47,59,60,1,34,2296,ES
862,28/04/2007,2,8,11,12,19,35,1,99,5632,RS
863,02/05/2007,15,24,32,50,53,57,0,25,1454,
864,05/05/2007,8,11,31,33,42,57,0,47,2926,
865,09/05/2007,23,26,27,41,51,53,0,28,2694,
866,12/05/2007,5,27,36,40,46,48,0,46,3704,
867,16/05/2007,10,19,26,28,44,54,0,51,4381,
868,19/05/2007,21,22,25,40,51,57,0,37,3453,
869,23/05/2007,27,29,42,49,50,51,1,57,3912,SP
870,26/05/2007,8,21,34,40,43,52,0,26,2923,
871,30/05/2007,1,5,10,17,47,58,0,80,6225,
872,02/06/2007,5,18,31,43,55,58,0,81,4636,
873,06/06/2007,4,19,30,34,57,59,0,70,5051,
874,09/06/2007,10,20,42,44,52,59,0,32,3024,
875,13/06/2007,18,20,24,36,53,58,1,153,8240,SP
876,16/06/2007,4,8,12,41,45,60,0,30,3847,
877,20/06/2007,13,15,20,28,31,36,0,69,4817,
878,23/06/2007,11,12,37,38,43,54,0,33,3702,
879,27/06/2007,10,28,29,35,42,46,0,45,3852,
880,30/06/2007,25,30,37,46,49,51,0,46,4314,
881,04/07/2007,4,18,24,43,51,56,0,99,6959,
882,07/07/2007,17,41,42,44,45,60,1,81,6642,SC
883,11/07/2007,21,32,37,52,53,60,0,13,1494,
884,14/07/2007,2,11,12,14,22,39,0,56,4752,
885,18/07/2007,4,13,31,33,47,51,0,114,6503,
886,21/07/2007,17,33,37,50,55,59,0,100,5764,
887,25/07/2007,1,12,21,32,34,44,0,79,4885,
888,28/07/2007,24,40,50,52,54,60,1,50,3672,DF
889,01/08/2007,20,24,34,39,54,60,0,21,1733,
890,04/08/2007,7,9,17,21,22,54,0,105,6983,
891,08/08/2007,15,16,19,22,34,35,0,92,6400,
892,11/08/2007,1,19,42,44,49,52,0,54,4782,
893,15/08/2007,3,18,26,51,53,56,0,105,6595,
894,18/08/2007,20,24,28,37,41,44,0,59,6653,
895,22/08/2007,2,41,43,55,57,58,0,82,6473,
896,25/08/2007,5,11,22,31,35,41,0,98,10769,
897,29/08/2007,7,21,22,43,46,57,0,212,16644,
898,01/09/2007,3,4,8,30,45,54,2,596,27120,RO   SC
899,05/09/2007,18,20,36,53,54,58,0,948,3559,
900,08/09/2007,4,18,21,34,38,59,1,89,6184,DF
901,12/09/2007,13,16,32,33,34,56,0,100,5617,
902,15/09/2007,18,23,50,52,55,58,0,68,3490,
903,19/09/2007,5,17,20,32,41,55,0,62,4688,
904,22/09/2007,32,44,48,51,53,59,0,72,4007,
905,26/09/2007,2,4,15,16,55,57,1,89,6223,RJ
906,29/09/2007,7,14,24,29,35,39,1,49,4239,MT
907,03/10/2007,9,36,37,41,51,53,0,25,2244,
908,06/10/2007,1,9,19,25,50,52,0,120,6205,
909,10/10/2007,17,22,26,28,38,42,0,48,4586,
910,13/10/2007,3,15,27,29,36,53,0,107,6512,
911,17/10/2007,1,6,28,29,46,49,1,63,5376,MT
912,20/10/2007,4,19,21,26,29,54,0,62,4474,
913,24/10/2007,14,30,36,38,46,59,1,27,2683,DF
914,27/10/2007,9,12,23,33,45,51,0,64,4731,
915,31/10/2007,17,20,26,28,48,49,1,44,3580,GO
916,03/11/2007,5,28,33,36,37,38,0,144,3220,
917,07/11/2007,23,25,30,46,47,59,0,61,3491,
918,10/11/2007,4,8,12,38,44,52,0,135,6883,
919,14/11/2007,3,25,31,41,43,60,0,37,3505,
920,17/11/2007,5,17,24,52,55,57,0,94,6584,
921,21/11/2007,1,9,35,41,48,57,0,62,4365,
922,24/11/2007,12,13,19,41,45,49,0,136,8735,
923,28/11/2007,2,15,39,50,53,57,0,90,6122,
924,01/12/2007,2,20,21,27,51,60,0,90,7236,
925,05/12/2007,8,22,36,37,46,52,1,132,10214,SP
926,08/12/2007,21,33,34,40,41,59,0,24,2019,
927,12/12/2007,19,23,26,31,33,36,0,45,3499,
928,15/12/2007,4,10,32,33,49,60,1,43,4246,SC
929,19/12/2007,16,27,35,39,49,57,0,42,3095,
930,22/12/2007,20,28,37,46,49,55,0,73,5481,
931,31/12/2007,7,17,19,34,36,39,0,245,14573,
932,05/01/2008,2,17,21,36,42,53,1,196,10515,RN
933,09/01/2008,8,14,25,39,45,51,0,66,3308,
934,12/01/2008,1,3,21,25,44,48,0,55,5101,
935,16/01/2008,7,13,18,29,31,45,0,243,10898,
936,19/01/2008,5,14,22,29,33,44,2,144,9280,RJ   RS
